index,sp600,sp100,r^2,beta
125,FBK,JPM,0.8677827919,0.5660871588
547,TBI,LMT,0.8676021762,0.04337584437
441,LESL,WBA,0.8669138532,0.1934577539
407,KREF,MMM,0.8667888085,0.1306662746
483,USNA,UPS,0.8661504509,0.4499904154
585,EGHT,FDX,0.8659353326,0.06803683551
118,VRRM,IBM,0.8659018141,-0.2601722621
586,RMAX,WBA,0.8657661362,0.471462363
167,URBN,IBM,0.8654654257,-0.4840066812
2,ONTO,T,0.8654531388,35.14557393
554,NFBK,WBA,0.8647254876,0.1446818785
292,MLKN,FDX,0.8640683794,0.1960765155
349,VTLE,CSCO,0.863553786,1.803670441
588,AGTI,WBA,0.863163944,0.4168996405
55,HI,TMO,0.861206275,0.1115391213
192,TNDM,LLY,0.8604387511,-0.1102952561
